RANK,SCHOOL,CONF,HEAD COACH,SCHOOL PAY,OTHER PAY,TOTAL PAY,MAX BONUS
1,Duke,ACC,Mike Krzyzewski,7233976 ,0 ,7233976 ,0 
2,Louisville,Big East,Rick Pitino,4078327 ,895016 ,4973343 ,725000 
3,Kansas,Big 12,Bill Self,4750763 ,210000 ,4960763 ,525000 
4,Michigan State,Big Ten,Tom Izzo,3220769 ,525000 ,3745769 ,350000 
5,Florida,SEC,Billy Donovan,3689200 ,0 ,3689200 ,471500 
6,Ohio State,Big Ten,Thad Matta,3087000 ,107000 ,3194000 ,410000 
7,Indiana,Big Ten,Tom Crean,2886250 ,0 ,2886250 ,740000 
8,Arizona,PAC-12,Sean Miller,2100000 ,418506 ,2518506 ,985000 
9,Wisconsin,Big Ten,Bo Ryan,2100000 ,257000 ,2357000 ,400000 
10,Villanova,Big East,Jay Wright,2290346 ,0 ,2290346 ,0 
11,Oklahoma State,Big 12,Travis Ford,2275000 ,0 ,2275000 ,0 
12,UCLA,PAC-12,Ben Howland,2200000 ,50000 ,2250000 ,235000 
13,Minnesota,Big Ten,Tubby Smith,2215769 ,0 ,2215769 ,2600000 
14,Georgetown,Big East,John Thompson,2211250 ,0 ,2211250 ,0 
15,Oklahoma,Big 12,Lon Kruger,2100000 ,0 ,2100000 ,270000 
16,North Carolina State,ACC,Mark Gottfried,1950000 ,0 ,1950000 ,1312500 
17,Syracuse,Big East,Jim Boeheim,1905576 ,0 ,1905576 ,0 
18,Michigan,Big Ten,John Beilein,1800000 ,65975 ,1865975 ,200000 
19,Pittsburgh,Big East,Jamie Dixon,1830176 ,0 ,1830176 ,0 
20,Oregon,PAC-12,Dana Altman,1800000 ,0 ,1800000 ,520000 
21,North Carolina,ACC,Roy Williams,1773938 ,0 ,1773938 ,111312 
22,California,PAC-12,Mike Montgomery,1750000 ,6500 ,1756500 ,350000 
23,Missouri,SEC,Frank Haith,1650000 ,0 ,1650000 ,825000 
24,Gonzaga,West Coast,Mark Few,1571847 ,0 ,1571847 ,0 
25,Kansas State,Big 12,Bruce Weber,1500000 ,0 ,1500000 ,655000 
26,Illinois,Big Ten,John Groce,1400000 ,0 ,1400000 ,775000 
27,Virginia Commonwealth,A-10,Shaka Smart,1370000 ,10000 ,1380000 ,649250 
28,Creighton,Mo. Valley,Greg McDermott,1369949 ,0 ,1369949 ,0 
29,Cincinnati,Big East,Mick Cronin,1350000 ,8500 ,1358500 ,555000 
30,Mississippi,SEC,Andy Kennedy,1300000 ,6000 ,1306000 ,1002500 
31,New Mexico,Mt. West,Steve Alford,1209200 ,38500 ,1247700 ,655000 
32,Memphis,CUSA,Josh Pastner,1220000 ,0 ,1220000 ,545000 
33,Iowa State,Big 12,Fred Hoiberg,1200000 ,11600 ,1211600 ,675000 
34,Wichita State,Mo. Valley,Gregg Marshall,1155000 ,32000 ,1187000 ,803000 
35,Butler,A-10,Brad Stevens,1165940 ,0 ,1165940 ,0 
36,Marquette,Big East,Buzz Williams,1105203 ,0 ,1105203 ,0 
37,San Diego State,Mt. West,Steve Fisher,840000 ,17500 ,857500 ,185000 
38,Nevada-Las Vegas,Mt. West,Dave Rice,765000 ,954 ,765954 ,345000 
39,Belmont,Ohio Valley,Rick Byrd,728667 ,0 ,728667 ,0 
40,Temple,A-10,Fran Dunphy,724557 ,0 ,724557 ,0 
41,Notre Dame,Big East,Mike Brey,616843 ,0 ,616843 ,0 
42,Colorado,PAC-12,Tad Boyle,591310 ,6000 ,597310 ,1675000 
43,Saint Mary's,West Coast,Randy Bennett,517381 ,0 ,517381 ,0 
44,Colorado State,Mt. West,Larry Eustachy,500000 ,0 ,500000 ,600000 
45,Boise State,Mt. West,Leon Rice,430020 ,10500 ,440520 ,75500 
46,New Mexico State,WAC,Marvin Menzies,423868 ,10000 ,433868 ,225000 
47,La Salle,A-10,John Giannini,426230 ,0 ,426230 ,0 
48,Akron,MAC,Keith Dambrot,425000 ,1000 ,426000 ,723167 
49,Davidson,Southern,Bob McKillop,379618 ,0 ,379618 ,0 
50,Western Kentucky,Sun Belt,Ray Harper,375000 ,2000 ,377000 ,628125 
51,Pacific,Big West,Bob Thomason,322651 ,0 ,322651 ,0 
52,Liberty,Big South,Dale Layer,308682 ,0 ,308682 ,0 
53,Middle Tennessee State,Sun Belt,Kermit Davis,290000 ,14000 ,304000 ,80000 
54,James Madison,CAA,Matt Brady,290000 ,4000 ,294000 ,200000 
55,Albany,Am East,Will Brown,276298 ,17000 ,293298 ,202700 
56,Bucknell,Patriot,Dave Paulsen,222389 ,0 ,222389 ,0 
57,Montana,Big Sky,Wayne Tinkle,135000 ,43500 ,178500 ,146000 
58,Florida Gulf Coast,Atl Sun,Andrew Enfield,157500 ,2050 ,159550 ,95000 
59,South Dakota State,Summit,Scott Nagy,152000 ,1025 ,153025 ,17000 
60,North Carolina A&T,MEAC,Cy Alexander,150000 ,0 ,150000 ,33500 
61,Northwestern State La,Southland,Mike McConathy,127000 ,0 ,127000 ,16000 
62,Southern,SWAC,Roman Banks,115000 ,0 ,115000 ,181247 
