Y,X1,X2,X3,X4
-3.6667,-0.53653,0.5083,-1.1982,0.30255
-3.6408,1.3648,-0.35258,1.5326,-1.7672
-3.6149,0.071956,0.15365,1.1081,-1.3866
-3.7197,-0.106,0.14794,-0.011078,-0.5005
-3.6938,-0.081388,-0.010363,-0.34762,-0.17672
-3.6808,-1.5528,0.4923,0.25227,-0.51301
-3.6679,0.49414,-0.31531,1.3653,-1.4409
-3.6419,-0.62908,0.87272,-0.63767,-0.26827
-3.629,0.20495,-1.2983,0.48865,-0.22477
-3.616,-0.48643,0.86731,-0.040525,-0.74523
-3.5901,0.13803,1.6593,-0.41108,-1.0197
-3.5771,0.9113,0.12602,-1.4887,0.36025
-3.6555,1.6481,-1.326,0.69027,-0.71297
-3.6295,-1.1205,-1.1234,-1.4132,1.4328
-3.5388,0.083469,0.49405,-1.0111,0.027157
-3.5258,0.91107,-0.78654,0.92956,-0.97995
-3.5129,-1.0844,-2.0983,1.8288,-0.50148
-3.6431,-0.52419,-0.90308,-0.952,0.83551
-3.6171,0.57152,-0.2855,-0.34997,-0.19161
-3.6042,1.1385,0.13492,-0.016968,-0.78959
-3.5912,-0.77865,0.10224,-1.107,0.51001
-3.5653,-0.37891,-0.35661,1.2332,-1.1008
-3.5523,-2.1029,-0.95687,-0.98366,1.2745
-3.4745,0.25726,0.20066,0.34005,-0.87147
-3.4616,-1.2924,-0.47548,0.14831,-0.0087923
-3.4356,-0.23854,1.0853,0.94922,-1.646
-3.4227,-1.0326,-0.7661,-0.44936,0.5178
-3.5399,2.2321,-1.1569,0.71906,-0.95658
-3.514,0.52488,7.30E-05,-1.3439,0.41991
-3.501,-1.022,-0.2237,1.175,-0.96268
-3.4881,1.7877,1.6843,0.6957,-2.2527
-3.4621,-0.95004,-0.43594,-1.0895,0.81179
-3.4103,0.12575,-0.012043,-0.0038024,-0.47347
-3.3973,-0.24774,-0.7185,0.44769,-0.3639
-3.3714,1.2504,1.0672,0.1095,-1.3751
-3.4886,-0.46328,-0.15183,-0.26484,-0.061066
-3.4757,0.10186,1.2737,-1.3952,-0.072512
-3.4497,-0.49645,-1.7687,0.078517,0.50122
-3.4368,1.3871,1.2924,-0.90036,-0.7665
-3.4108,-0.5093,-0.068844,-0.56851,0.13477
-3.3979,0.5016,-0.52689,1.3934,-1.3452
-3.346,-0.15855,0.99683,0.84924,-1.5407
-3.3201,1.1598,1.0087,-1.115,-0.40875
-2.9311,-0.62293,1.5498,1.3563,-2.0809
-3.3984,0.26229,0.064311,0.26984,-0.74279
-3.3855,-1.0423,-0.8543,0.61355,-0.21763
-3.3725,0.51911,0.76079,0.31912,-1.1915
-3.3466,0.15916,0.23191,1.2247,-1.5123
-3.2947,1.142,1.3149,-2.2418,0.28431
-3.2817,0.68529,-1.3014,-1.3306,1.0286
-3.2558,1.5125,1.0151,-0.98799,-0.59017
-3.2428,0.4744,2.235,2.1802,-3.3043
-3.2299,-2.1695,0.063112,-1.1833,0.93801
-3.2039,-1.4415,-0.15197,-0.5733,0.41246
-3.0095,-1.4274,0.56898,0.51207,-0.76011
-2.9706,-0.63436,-0.22902,-0.15175,-0.061391
-2.8668,0.41358,-2.8504,1.7204,-0.40022
-3.3601,0.53075,1.5875,-1.2135,-0.46418
-3.3342,0.42342,0.45735,-0.71936,-0.23971
-3.3212,-3.1361,-0.17515,0.74555,-0.13768
-3.2953,0.16859,-0.92105,-0.089301,0.044233
-3.2175,0.6113,0.18865,0.17928,-0.82041
-3.1915,-2.2464,0.29191,-0.33731,0.21565
-3.1786,-1.5864,-0.75973,-0.22197,0.49404
-3.1526,-0.30628,-0.25947,-0.2049,-0.084182
-3.1397,0.076718,-0.062046,0.58628,-0.86632
-3.1267,0.037003,-0.52607,0.95518,-0.8988
-3.1008,-0.85476,1.1112,0.20407,-0.94012
-3.0878,1.9903,-1.4646,0.2938,-0.41706
-3.0619,-0.88382,-1.2775,1.9077,-1.0051
-2.9193,-0.35569,-1.4615,-0.45784,0.71829
-2.9063,-0.13571,0.97409,0.21943,-1.0598
-2.8933,1.0642,0.51918,0.77526,-1.5411
-2.8026,-0.3889,0.32263,1.5872,-1.6896
-3.2829,-1.5393,-0.1545,0.78963,-0.57064
-3.2699,0.73264,-0.63125,-0.23101,-0.13108
-3.2569,0.63376,0.46989,0.63155,-1.3004
-3.231,-0.3549,2.7984,0.39748,-2.049
-3.218,-0.70215,-2.2394,2.9742,-1.3589
-3.1662,1.1009,-0.33534,0.60423,-0.99171
-3.1402,0.52997,1.602,-0.41139,-1.0653
-3.1273,0.27786,-0.7049,0.57735,-0.5841
-3.1143,-1.2177,-0.29827,0.11504,-0.075545
-3.0884,-0.98162,1.7122,1.0514,-1.8376
-3.0754,-1.9717,-1.2302,1.5455,-0.48829
-3.0495,-1.0812,1.051,-0.011565,-0.69063
-3.0365,0.4605,1.2752,-0.026313,-1.1713
-3.0236,-1.6035,0.47161,-0.77325,0.29513
-2.9976,-0.083549,-1.6244,-1.3641,1.4107
-2.9847,-0.65427,-0.94104,-0.73553,0.74095
-2.9587,-1.132,-1.7209,-1.9106,2.1239
