Name,Mfr,Calories,Sugars,Carbo,Protein,Fat,Sodium,Potass,Shelf
100%_Bran,N,70,6,5,4,1,130,280,3
100%_Natural_Bran,Q,120,8,8,3,5,15,135,3
All-Bran,K,70,5,7,4,1,260,320,3
All-Bran_with_Extra_Fiber,K,50,0,8,4,0,140,330,3
Almond_Delight,R,110,8,14,2,2,200,0,3
Apple_Cinnamon_Cheerios,G,110,10,10.5,2,2,180,70,1
Apple_Jacks,K,110,14,11,2,0,125,30,2
Basic_4,G,130,8,18,3,2,210,100,3
Bran_Chex,R,90,6,15,2,1,200,125,1
Bran_Flakes,P,90,5,13,3,0,210,190,3
Cap'n'Crunch,Q,120,12,12,1,2,220,35,2
Cheerios,G,110,1,17,6,2,290,105,1
Cinnamon_Toast_Crunch,G,120,9,13,1,3,210,45,2
Clusters,G,110,7,13,3,2,140,105,3
Cocoa_Puffs,G,110,13,12,1,1,180,55,2
Corn_Chex,R,110,3,22,2,0,280,25,1
Corn_Flakes,K,100,2,21,2,0,290,35,1
Corn_Pops,K,110,12,13,1,0,90,20,2
Count_Chocula,G,110,13,12,1,1,180,65,2
Cracklin'_Oat_Bran,K,110,7,10,3,3,140,160,3
Cream_of_Wheat_(Quick),N,100,0,21,3,0,80,0,2
Crispix,K,110,3,21,2,0,220,30,3
Crispy_Wheat_&_Raisins,G,100,10,11,2,1,140,120,3
Double_Chex,R,100,5,18,2,0,190,80,3
Froot_Loops,K,110,13,11,2,1,125,30,2
Frosted_Flakes,K,110,11,14,1,0,200,25,1
Frosted_Mini-Wheats,K,100,7,14,3,0,0,100,2
"Fruit_&_Fibre_Dates,_Walnuts,_and_Oats",P,120,10,12,3,2,160,200,3
Fruitful_Bran,K,120,12,14,3,0,240,190,3
Fruity_Pebbles,P,110,12,13,1,1,135,25,2
Golden_Crisp,P,100,15,11,2,0,45,40,1
Golden_Grahams,G,110,9,15,1,1,280,45,2
Grape_Nuts_Flakes,P,100,5,15,3,1,140,85,3
Grape-Nuts,P,110,3,17,3,0,170,90,3
Great_Grains_Pecan,P,120,4,13,3,3,75,100,3
Honey_Graham_Ohs,Q,120,11,12,1,2,220,45,2
Honey_Nut_Cheerios,G,110,10,11.5,3,1,250,90,1
Honey-comb,P,110,11,14,1,0,180,35,1
Just_Right_Crunchy__Nuggets,K,110,6,17,2,1,170,60,3
Just_Right_Fruit_&_Nut,K,140,9,20,3,1,170,95,3
Kix,G,110,3,21,2,1,260,40,2
Life,Q,100,6,12,4,2,150,95,2
Lucky_Charms,G,110,12,12,2,1,180,55,2
Maypo,A,100,3,16,4,1,0,95,2
"Muesli_Raisins,_Dates,_&_Almonds",R,150,11,16,4,3,95,170,3
"Muesli_Raisins,_Peaches,_&_Pecans",R,150,11,16,4,3,150,170,3
Mueslix_Crispy_Blend,K,160,13,17,3,2,150,160,3
Multi-Grain_Cheerios,G,100,6,15,2,1,220,90,1
Nut&Honey_Crunch,K,120,9,15,2,1,190,40,2
Nutri-Grain_Almond-Raisin,K,140,7,21,3,2,220,130,3
Nutri-grain_Wheat,K,90,2,18,3,0,170,90,3
Oatmeal_Raisin_Crisp,G,130,10,13.5,3,2,170,120,3
Post_Nat._Raisin_Bran,P,120,14,11,3,1,200,260,3
Product_19,K,100,3,20,3,0,320,45,3
Puffed_Rice,Q,50,0,13,1,0,0,15,3
Puffed_Wheat,Q,50,0,10,2,0,0,50,3
Quaker_Oat_Squares,Q,100,6,14,4,1,135,110,3
Quaker_Oatmeal,Q,100,0,18,5,2,0,110,1
Raisin_Bran,K,120,12,14,3,1,210,240,2
Raisin_Nut_Bran,G,100,8,10.5,3,2,140,140,3
Raisin_Squares,K,90,6,15,2,0,0,110,3
Rice_Chex,R,110,2,23,1,0,240,30,1
Rice_Krispies,K,110,3,22,2,0,290,35,1
Shredded_Wheat,N,80,0,16,2,0,0,95,1
Shredded_Wheat_'n'Bran,N,90,0,19,3,0,0,140,1
Shredded_Wheat_spoon_size,N,90,0,20,3,0,0,120,1
Smacks,K,110,15,9,2,1,70,40,2
Special_K,K,110,3,16,6,0,230,55,1
Strawberry_Fruit_Wheats,N,90,5,15,2,0,15,90,2
Total_Corn_Flakes,G,110,3,21,2,1,200,35,3
Total_Raisin_Bran,G,140,14,15,3,1,190,230,3
Total_Whole_Grain,G,100,3,16,3,1,200,110,3
Triples,G,110,3,21,2,1,250,60,3
Trix,G,110,12,13,1,1,140,25,2
Wheat_Chex,R,100,3,17,3,1,230,115,1
Wheaties,G,100,3,17,3,1,200,110,1
Wheaties_Honey_Gold,G,110,8,16,2,1,200,60,1
