Model,Manufacturer,Color,MSRP,Engine Stroke,Displacement,Bore,Wheelbase,Clearance,Total Weight
HondaCR85R,Honda,red,2999,2,84,48,49.1,12.2,144
HondaCR85RB,Honda,red,3099,2,84,48,49.1,13.9,145
HondaCRF100F,Honda,red,2249,4,99,53,49.2,10,165
HondaCRF150F,Honda,red,2999,4,157,64,52.2,10,216
HondaCRF230F,Honda,red,3499,4,223,66,54.1,11.7,238
HondaCRF250R,Honda,red,5899,4,249,78,58.2,14.2,204
HondaCRF250X,Honda,red,6199,4,249,78,58.6,14.2,228
HondaCRF450R,Honda,red,6699,4,449,96,58.7,13.4,218.5
HondaCRF450X,Honda,red,6999,4,449,96,58.2,13.7,255
HondaCRF50F,Honda,red,1249,4,49,39,36,5.8,104
HondaCRF70F,Honda,red,1549,4,72,47,42,7,128
HondaCRF80F,Honda,red,1949,4,80,48,47.6,8.6,154
HondaXR250R,Honda,red,4699,4,249,73,55.1,12.4,240
HondaXR400R,Honda,red,5299,4,397,85,56.1,12.2,257
HondaXR650L,Honda,red,5599,4,644,100,57.3,13,324
HondaXR650R,Honda,red,6099,4,649,100,58.3,12,277
KawasakiKDX200,Kawasaki,green,4099,2,198,66,56.5,13.4,222.6
KawasakiKDX220R,Kawasaki,green,4499,2,216,69,56.5,13.4,222.6
KawasakiKDX50,Kawasaki,green,1099,2,49,41,33.9,4.5,84
KawasakiKLR250,Kawasaki,red,4099,4,249,74,55.7,10.6,258
KawasakiKLR650,Kawasaki,red,5099,4,651,100,58.9,9.4,337
KawasakiKLX110,Kawasaki,green,1649,4,111,53,41.9,7.5,141.1
KawasakiKLX125,Kawasaki,green,2299,4,124,57,49,10.2,176
KawasakiKLX125L,Kawasaki,green,2499,4,124,57,50,11.4,178.5
KawasakiKLX300R,Kawasaki,green,4799,4,292,78,56.5,12.6,233.7
KawasakiKX100,Kawasaki,green,3349,2,99,52,50.8,15,149.9
KawasakiKX125,Kawasaki,green,5099,2,124,54,57.9,13.4,192
KawasakiKX250,Kawasaki,green,5999,2,294,66,58.3,13.4,213.8
KawasakiKX250F,Kawasaki,green,5599,4,249,77,58.1,13.4,203.9
KawasakiKX65,Kawasaki,green,2799,2,65,45,44.1,12,125.6
KawasakiKX85,Kawasaki,green,2999,2,84,48,49.4,13.4,143.3
KTM125SX,KTM,orange,5298,2,125,54,57.91,15.35,203
KTM200EXC,KTM,orange,5848,2,193,64,58.1,15.35,220
KTM250EXC,KTM,orange,6398,2,249,66,58.1,15.15,226.2
KTM250SX,KTM,orange,6248,2,249,66,58.1,15.1,215.4
KTM300EXC,KTM,orange,6498,2,293,72,58.1,15.15,224.4
KTM300MXC,KTM,orange,6398,2,293,72,58.3,15.15,224.4
KTM400EXC,KTM,orange,7198,4,398,89,58.3,15.15,250
KTM450EXC,KTM,orange,7289,4,447,89,58.3,15.15,248.7
KTM450MXC,KTM,orange,7048,4,448,89,58.3,15.15,248.7
KTM450SX,KTM,orange,6498,4,449,95,58.3,15,231.93
KTM50MINI,KTM,orange,1598,2,49,40,35.63,7.48,83.33
KTM50SENIOR,KTM,orange,2148,2,49,40,40.55,10.04,84.65
KTM50SXPROJUNIOR,KTM,orange,2998,2,49,40,35.82,8.66,82.89
KTM50SXPROSENIOR,KTM,orange,3298,2,49,40,40.55,10.04,85.55
KTM525EXC,KTM,orange,7548,4,510,95,58.3,15.15,249.3
KTM525MXC,KTM,orange,7348,4,510,95,58.3,15.15,249.3
KTM525SX,KTM,orange,6798,4,510,95,58.3,15,233.69
KTM65SX,KTM,orange,3498,2,65,41,44.76,11.41,122.57
KTM85SX,KTM,orange,3598,2,86,49,50.31,16.33,149.9
SuzukiDR200SE,Suzuki,blue/white,3899,4,199,66,55.3,10.2,249
SuzukiDR200SE,Suzuki,yellow,3899,4,199,66,55.3,10.2,249
SuzukiDR650SE,Suzuki,blue/white,4999,4,644,100,58.7,10.4,324
SuzukiDR650SE,Suzuki,yellow,4999,4,644,100,58.7,10.4,324
SuzukiDRZ110,Suzuki,yellow,1699,4,111,53,41.9,7.5,141.1
SuzukiDRZ125,Suzuki,yellow,2299,4,124,57,49,10.2,174
SuzukiDRZ125L,Suzuki,yellow,2499,4,124,57,50,11.4,176
SuzukiDRZ250,Suzuki,yellow,4699,4,249,73,57.3,11.8,253
SuzukiDRZ400E,Suzuki,yellow,5499,4,398,90,58.1,12.8,262
SuzukiDRZ400S,Suzuki,blue/white,5499,4,398,90,58.5,11.8,291
SuzukiDRZ400S,Suzuki,yellow,5499,4,398,90,58.5,11.8,291
SuzukiJR50,Suzuki,yellow,1099,2,49,41,33.9,4.5,84
SuzukiRM125,Suzuki,yellow,5099,2,125,54,57.1,13.8,192
SuzukiRM250,Suzuki,yellow,5999,2,249,66,57.9,13.8,212
SuzukiRM65,Suzuki,yellow,2849,2,65,44,44.1,12,125.7
SuzukiRM85,Suzuki,yellow,3099,2,85,48,48.8,12.8,143
SuzukiRM85L,Suzuki,yellow,3199,2,85,48,50.4,14,152
SuzukiRMZ250,Suzuki,yellow,5599,4,249,77,58.1,13.4,204
SuzukiRMZ450,Suzuki,yellow,6499,4,449,96,58.5,13.8,220
YamahaPW50,Yamaha,blue/white,1079,2,49,40,33.7,4.1,82
YamahaPW80,Yamaha,blue/white,1249,2,79,47,41,7.3,126
YamahaTTR125E,Yamaha,blue/white,2399,4,124,54,49,10.4,179
YamahaTTR125L,Yamaha,blue/white,2499,4,124,54,50,11.6,172
YamahaTTR230,Yamaha,blue/white,3299,4,223,70,54.1,12,242
YamahaTTR250,Yamaha,blue/white,4399,4,249,73,55.3,12,249
YamahaTTR90E,Yamaha,blue/white,1699,4,89,47,40.9,6.3,139
YamahaTW200,Yamaha,silver,3699,4,196,67,52.2,10.4,260
YamahaWR250F,Yamaha,blue/white,5899,4,249,77,58.1,14.57,228
YamahaWR450F,Yamaha,blue/white,6599,4,449,95,58.4,14.57,244
YamahaYZ125,Yamaha,blue/white,5299,4,124,54,56.5,15.8,189
YamahaYZ250,Yamaha,blue/white,6099,2,249,66,58.3,15.6,211
YamahaYZ250F,Yamaha,blue/white,5699,4,249,77,58,15,206
YamahaYZ450F,Yamaha,blue/white,6399,4,449,95,58.5,14.6,220
YamahaYZ85,Yamaha,blue/white,3099,2,85,47,49.5,13.8,146
HusabergFC450,Husaberg,blue/yellow,8998,4,449,100,58,14.9,227
HusabergFC550,Husaberg,blue/yellow,8998,4,549,100,58,14.9,227
HusqvarnaTC250,Husqvarna,blue/yellow,5999,4,249,76,58,13.4,212
HusqvarnaTC510,Husqvarna,blue/yellow,6899,4,501,97,58,13.4,235
HusqvarnaTC450,Husqvarna,blue/yellow,6499,4,449,97,58,13.4,231
HusqvarnaTE250,Husqvarna,blue/yellow,6299,4,249,76,58,13.4,232
HusqvarnaTE450,Husqvarna,blue/yellow,6889,4,449,97,57,13.4,237
HusqvarnaTE510,Husqvarna,blue/yellow,7199,4,501,97,57,13.4,239
HusqvarnaSM510R,Husqvarna,red/white,6799,4,501,97,58.86,10.63,241
HusqvarnaSM450R,Husqvarna,blue/yellow,7299,4,449,97,58.86,10.63,240
GasGasPRO125,GasGas,yellow/black,5199,2,124.8,54,51.97,13.6,139
GasGasPRO200,GasGas,yellow/black,5299,2,175.3,64,51.97,13.6,141
GasGasPRO280,GasGas,red/black,6249,2,272.2,76,51.97,13.6,145
GasGasPRO280,GasGas,blue/black,6249,2,272.2,76,51.97,13.6,145
GasGasPRO300,GasGas,silver,6249,2,294.1,79,51.97,13.6,146
ATK450ENDURO,ATK,blue,7895,4,449,97,58.5,14.2,245
