latitude,longitude,city,week ending,week number,weekly excess death rate
41.795342,-87.626953,CHICAGO,14-Sep-1918,1,-53
41.795342,-87.626954,CHICAGO,21-Sep-1918,2,-50
41.795342,-87.626955,CHICAGO,28-Sep-1918,3,77
41.795342,-87.626956,CHICAGO,5-Oct-1918,4,720
41.795342,-87.626957,CHICAGO,12-Oct-1918,5,1967
41.795342,-87.626958,CHICAGO,19-Oct-1918,6,4063
41.795342,-87.626959,CHICAGO,26-Oct-1918,7,4573
42.855565,-78.903809,BUFFALO,14-Sep-1918,1,13
42.855565,-78.90381,BUFFALO,21-Sep-1918,2,51
42.855565,-78.903811,BUFFALO,28-Sep-1918,3,89
42.855565,-78.903812,BUFFALO,5-Oct-1918,4,422
42.855565,-78.903813,BUFFALO,12-Oct-1918,5,1809
42.855565,-78.903814,BUFFALO,19-Oct-1918,6,5506
42.855565,-78.903815,BUFFALO,26-Oct-1918,7,7544
40.709514,-74.025879,NEW YORK,14-Sep-1918,1,-24
40.709514,-74.02588,NEW YORK,21-Sep-1918,2,6
40.709514,-74.025881,NEW YORK,28-Sep-1918,3,83
40.709514,-74.025882,NEW YORK,5-Oct-1918,4,592
40.709514,-74.025883,NEW YORK,12-Oct-1918,5,1904
40.709514,-74.025884,NEW YORK,19-Oct-1918,6,3896
40.709514,-74.025885,NEW YORK,26-Oct-1918,7,4830
36.168627,-86.77002,NASHVILLE,14-Sep-1918,1,23
36.168627,-86.770021,NASHVILLE,21-Sep-1918,2,40
36.168627,-86.770022,NASHVILLE,28-Sep-1918,3,48
36.168627,-86.770023,NASHVILLE,5-Oct-1918,4,128
36.168627,-86.770024,NASHVILLE,12-Oct-1918,5,3650
36.168627,-86.770025,NASHVILLE,19-Oct-1918,6,8494
36.168627,-86.770026,NASHVILLE,26-Oct-1918,7,5531
40.409035,-80.024414,PITTSBURGH,14-Sep-1918,1,-15
40.409035,-80.024415,PITTSBURGH,21-Sep-1918,2,18
40.409035,-80.024416,PITTSBURGH,28-Sep-1918,3,153
40.409035,-80.024417,PITTSBURGH,5-Oct-1918,4,445
40.409035,-80.024418,PITTSBURGH,12-Oct-1918,5,829
40.409035,-80.024419,PITTSBURGH,19-Oct-1918,6,3280
40.409035,-80.02442,PITTSBURGH,26-Oct-1918,7,4940
29.892726,-90.065918,NEW ORLEANS,14-Sep-1918,1,-22
29.892726,-90.065919,NEW ORLEANS,21-Sep-1918,2,-30
29.892726,-90.06592,NEW ORLEANS,28-Sep-1918,3,-54
29.892726,-90.065921,NEW ORLEANS,5-Oct-1918,4,296
29.892726,-90.065922,NEW ORLEANS,12-Oct-1918,5,1865
29.892726,-90.065923,NEW ORLEANS,19-Oct-1918,6,8441
29.892726,-90.065924,NEW ORLEANS,26-Oct-1918,7,9218
