TVhours,Group
1,FNA
3,MNA
1,FA
2,MNA
0,FNA
2,FNA
4.5,FNA
0,FNA
3,FNA
2,MNA
6,FNA
10,MNA
3,MNA
4,MNA
1,MNA
7,MA
3,MA
0,MNA
0,MNA
3,MNA
4,FNA
4,MNA
0,MNA
2,MNA
0,FNA
0,FNA
0,FNA
0.5,FNA
0,MNA
0,MNA
4,MNA
4,MA
20,MNA
0,FNA
1,FNA
0,FNA
0.5,FNA
0,MA
1.5,MNA
0.5,FNA
1,MNA
3,FNA
0,FNA
1,FNA
8,FNA
5,MNA
1,FNA
2,MNA
0,MNA
4,FNA
1,FNA
3,MNA
3,MA
10,MNA
0,MNA
3,FNA
5,MNA
0,MNA
0,MNA
2,MNA
3,FA
0,FNA
2,FNA
0,FNA
3,MNA
10,FNA
5,MNA
1,FNA
4,MA
1,FA
0,FNA
0,FNA
6,FNA
1,MNA
0,FNA
2,FA
3,FNA
2,MA
0,MNA
4,MNA
7,MNA
1,MNA
1,FA
7,MNA
1,MA
0,FNA
0,FNA
0,FA
0,FNA
0,FA
1,MNA
0,MNA
2,FA
7,MNA
2,FNA
6,MNA
10,MA
8,MNA
0,FNA
0,MNA
20,MA
2,FNA
1,FNA
0,FA
10,MNA
0,MNA
1,FA
0.5,FNA
3,FNA
0,FA
2,MA
10,MA
10,FA
5,FNA
0,FA
0,MNA
3,FNA
0,FNA
0,FA
6,MA
0,FNA
4,FNA
1,FNA
4,FNA
1,MNA
6,MNA
7,MNA
0,MNA
4,MA
5,MA
6,MA
6,FNA
1,MNA
3,MNA
12,MA
2,FNA
6,MNA
12,MNA
1,MNA
15,MNA
3,MA
15,FA
1,FNA
2,FNA
1,MNA
10,MA
20,MA
6,FNA
2,MNA
1,MNA
10,FNA
1,FNA
2,FNA
0,MNA
5,FA
4,MNA
3,MNA
0,MNA
0,MA
1,FNA
1,MNA
25,MA
2,MNA
0,FNA
6,FNA
1,FNA
1,FA
8,MA
2,MNA
0.5,FA
0,FNA
0,MNA
15,MA
3,MNA
2,MNA
2,FA
24,MA
2,FNA
15,FNA
2,MNA
25,MA
5,FNA
1.5,MNA
2,MNA
20,MA
1,MNA
4,MNA
4,MNA
5,FNA
0,MNA
1,FNA
3,FNA
1,FNA
15,FNA
10,FA
2.5,FA
3,FA
