Name,Year,Institution Sector,Average debt of graduates,Percent of graduates with debt,Fall enrollment - Full-time ugrad,Tuition and fees (in-state)
UNC Greensboro,2009-10,"Public, 4-year or above",23772,0.67,12891,4234
UNC School of the Arts,2009-10,"Public, 4-year or above",22173,0.71,737,5449
NC A & T,2009-10,"Public, 4-year or above",21644,0.64,8039,3696
NCSU,2009-10,"Public, 4-year or above",19988,0.47,22018,5475
UNC-Wilmington,2009-10,"Public, 4-year or above",19277,0.25,10487,4873
UNC Charlotte,2009-10,"Public, 4-year or above",17472,0.46,16494,4427
ECU,2009-10,"Public, 4-year or above",17243,0.57,18392,4477
Appalachian,2009-10,"Public, 4-year or above",16130,0.55,14116,4491
UNC Asheville,2009-10,"Public, 4-year or above",15443,0.48,3132,4330
,,,,,,
,,,,,,
