MET,LUNCH,GRADELEVEL,GRADE,SCORE,NAME,TYPE
Exceeded,31.31,96,A,94,Wake Early College of Health and Science,h
Exceeded,21.18,78.4,A+,86,Leesville Road High,h
Exceeded,34.05,58.7,B,74,Sanderson High,h
Exceeded,36.56,61,B,75,Needham Broughton High,h
Exceeded,28.14,72.1,B,75,Wakefield Middle,m
Exceeded,27.25,72.5,B,75,Leesville Road Middle,m
Exceeded,31.67,63.7,B,76,Fuquay-Varina High,h
Exceeded,22.03,71.3,B,76,Holly Grove Middle,m
Exceeded,31.49,62.4,B,77,Millbrook High,h
Exceeded,29.25,62.6,B,78,Wakefield High,h
Exceeded,34.6,75.7,B,78,Farmington Woods Elementary,e
Exceeded,29.52,66.5,B,79,Wake Forest High School,h
Exceeded,33.26,71.9,B,81,Cary High,h
Exceeded,30.1,78.5,B,82,Weatherstone Elementary,e
Exceeded,28.56,80.4,B,82,Willow Springs Elementary,e
Exceeded,25.43,80.6,B,82,Holly Ridge Elementary,e
Exceeded,29.12,71.1,B,83,Middle Creek High,h
Exceeded,56.43,70.5,B,75,Yates Mill Elementary,e
Exceeded,58.76,44.1,C,63,Southeast Raleigh High,h
Exceeded,50.99,57.6,C,64,North Garner Middle,m
Exceeded,58.95,58.8,C,64,Stough Elementary,e
Exceeded,45.25,49.8,C,67,Garner High,h
Exceeded,59.61,46.1,C,68,East Wake High,h
Exceeded,42.62,65.2,C,69,Wakefield Elementary,e
Exceeded,68.83,49.8,C,57,East Millbrook Middle,m
Exceeded,63.56,51.5,C,59,East Garner Middle,m
Exceeded,73.8,53.1,C,61,Wilburn Elementary,e
Exceeded,79.53,42.7,D,52,Barwell Road Elementary,e
Exceeded,84.52,52.9,C,59,Creech Road Elementary,e
Exceeded,81.07,54,C,61,Fox Road Elementary,e
Exceeded,87.25,43.8,D,54,Hodge Road Elementary,e
Exceeded,15.42,82.5,A,85,Lufkin Road Middle,m
Exceeded,9.68,87.3,A,88,Mills Park Middle,m
Exceeded,7.48,88.7,A,89,Scotts Ridge Elementary,e
Exceeded,9.27,90.8,A,91,Davis Drive Middle,m
Exceeded,4.4,88.8,A+,89,Sycamore Creek Elementary,e
Exceeded,12.22,85.2,A+,91,Panther Creek High,h
Exceeded,4.87,93.8,A+,92,Davis Drive Elementary,e
Exceeded,19.37,77.7,B,80,West Lake Elementary,e
Exceeded,18.02,79.1,B,82,Salem Middle,m
Exceeded,17.12,75.1,B,84,Holly Springs High,h
Exceeded,19.88,81.9,B,84,Apex Middle,m
Exceeded,16.33,83.4,B,84,Heritage Middle,m
Exceeded,16.09,83.8,B,84,Holly Springs Elementary,e
Met,26.09,93.7,A,93,Wake STEM Early College High School,h
Met,26.01,65.8,B,70,Abbotts Creek Elementary,e
Met,39.75,67.1,B,70,Northwoods Elementary,e
